"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","id","Geographic Area Name"
"250,000+","***","1400000US08005006705","Census Tract 67.05, Arapahoe County, Colorado"
"97435","14921","1400000US08005006706","Census Tract 67.06, Arapahoe County, Colorado"
"103629","15760","1400000US08005006707","Census Tract 67.07, Arapahoe County, Colorado"
"112467","14977","1400000US08005006708","Census Tract 67.08, Arapahoe County, Colorado"
"123482","13902","1400000US08005006709","Census Tract 67.09, Arapahoe County, Colorado"
"123162","9309","1400000US08005006711","Census Tract 67.11, Arapahoe County, Colorado"
"182031","23821","1400000US08005006712","Census Tract 67.12, Arapahoe County, Colorado"
"72340","8381","1400000US08005006713","Census Tract 67.13, Arapahoe County, Colorado"
"167721","20236","1400000US08005006808","Census Tract 68.08, Arapahoe County, Colorado"
"66250","8889","1400000US08005006815","Census Tract 68.15, Arapahoe County, Colorado"
"82059","19870","1400000US08005006854","Census Tract 68.54, Arapahoe County, Colorado"
"125234","19661","1400000US08005006855","Census Tract 68.55, Arapahoe County, Colorado"
"77075","6738","1400000US08005006856","Census Tract 68.56, Arapahoe County, Colorado"
"146875","35011","1400000US08005006857","Census Tract 68.57, Arapahoe County, Colorado"
"74571","11673","1400000US08005006858","Census Tract 68.58, Arapahoe County, Colorado"
"75196","5836","1400000US08005007101","Census Tract 71.01, Arapahoe County, Colorado"
"108365","21185","1400000US08005007103","Census Tract 71.03, Arapahoe County, Colorado"
"95574","8223","1400000US08005007104","Census Tract 71.04, Arapahoe County, Colorado"
"84410","12302","1400000US08005007105","Census Tract 71.05, Arapahoe County, Colorado"
"122614","9451","1400000US08005007106","Census Tract 71.06, Arapahoe County, Colorado"
"125203","13614","1400000US08005007107","Census Tract 71.07, Arapahoe County, Colorado"
"42067","9353","1400000US08005007201","Census Tract 72.01, Arapahoe County, Colorado"
"37250","6323","1400000US08005007202","Census Tract 72.02, Arapahoe County, Colorado"
"47015","3116","1400000US08005007301","Census Tract 73.01, Arapahoe County, Colorado"
"35577","4650","1400000US08005007302","Census Tract 73.02, Arapahoe County, Colorado"
"49107","11818","1400000US08005007400","Census Tract 74, Arapahoe County, Colorado"
"59063","10265","1400000US08005007500","Census Tract 75, Arapahoe County, Colorado"
"36056","5324","1400000US08005007600","Census Tract 76, Arapahoe County, Colorado"
"57202","9221","1400000US08005007702","Census Tract 77.02, Arapahoe County, Colorado"
"52981","13914","1400000US08005007703","Census Tract 77.03, Arapahoe County, Colorado"
"47152","5087","1400000US08005007704","Census Tract 77.04, Arapahoe County, Colorado"
"136176","23081","1400000US08005015100","Census Tract 151, Arapahoe County, Colorado"
"51400","7279","1400000US08005080000","Census Tract 800, Arapahoe County, Colorado"
"39515","5411","1400000US08005080100","Census Tract 801, Arapahoe County, Colorado"
"82967","5673","1400000US08005080200","Census Tract 802, Arapahoe County, Colorado"
"68924","17735","1400000US08005080300","Census Tract 803, Arapahoe County, Colorado"
"69175","4273","1400000US08005080400","Census Tract 804, Arapahoe County, Colorado"
"63625","11761","1400000US08005080500","Census Tract 805, Arapahoe County, Colorado"
"50688","4648","1400000US08005080600","Census Tract 806, Arapahoe County, Colorado"
"66882","5414","1400000US08005080700","Census Tract 807, Arapahoe County, Colorado"
"55219","5362","1400000US08005080800","Census Tract 808, Arapahoe County, Colorado"
"65270","10623","1400000US08005080900","Census Tract 809, Arapahoe County, Colorado"
"36737","7523","1400000US08005081000","Census Tract 810, Arapahoe County, Colorado"
"41673","5696","1400000US08005081100","Census Tract 811, Arapahoe County, Colorado"
"48262","4625","1400000US08005081200","Census Tract 812, Arapahoe County, Colorado"
"54375","5230","1400000US08005081300","Census Tract 813, Arapahoe County, Colorado"
"69559","6228","1400000US08005081400","Census Tract 814, Arapahoe County, Colorado"
"36471","2171","1400000US08005081500","Census Tract 815, Arapahoe County, Colorado"
"73611","7277","1400000US08005081600","Census Tract 816, Arapahoe County, Colorado"
"142679","19582","1400000US08005081700","Census Tract 817, Arapahoe County, Colorado"
"51932","8379","1400000US08005081800","Census Tract 818, Arapahoe County, Colorado"
"42815","4727","1400000US08005081900","Census Tract 819, Arapahoe County, Colorado"
"46278","5900","1400000US08005082000","Census Tract 820, Arapahoe County, Colorado"
"63750","9883","1400000US08005082100","Census Tract 821, Arapahoe County, Colorado"
"54602","10132","1400000US08005082200","Census Tract 822, Arapahoe County, Colorado"
"61078","8739","1400000US08005082300","Census Tract 823, Arapahoe County, Colorado"
"62461","9119","1400000US08005082400","Census Tract 824, Arapahoe County, Colorado"
"68618","13531","1400000US08005082500","Census Tract 825, Arapahoe County, Colorado"
"58545","7300","1400000US08005082600","Census Tract 826, Arapahoe County, Colorado"
"86694","12583","1400000US08005082700","Census Tract 827, Arapahoe County, Colorado"
"66069","5535","1400000US08005082800","Census Tract 828, Arapahoe County, Colorado"
"76591","13064","1400000US08005082900","Census Tract 829, Arapahoe County, Colorado"
"102563","12361","1400000US08005083000","Census Tract 830, Arapahoe County, Colorado"
"91386","17894","1400000US08005083100","Census Tract 831, Arapahoe County, Colorado"
"117442","6871","1400000US08005083200","Census Tract 832, Arapahoe County, Colorado"
"84464","6521","1400000US08005083300","Census Tract 833, Arapahoe County, Colorado"
"78550","16985","1400000US08005083400","Census Tract 834, Arapahoe County, Colorado"
"62245","5815","1400000US08005083500","Census Tract 835, Arapahoe County, Colorado"
"59386","5627","1400000US08005083600","Census Tract 836, Arapahoe County, Colorado"
"88500","14316","1400000US08005083700","Census Tract 837, Arapahoe County, Colorado"
"70072","5420","1400000US08005083800","Census Tract 838, Arapahoe County, Colorado"
"59020","6891","1400000US08005083900","Census Tract 839, Arapahoe County, Colorado"
"98672","11804","1400000US08005084000","Census Tract 840, Arapahoe County, Colorado"
"72538","13534","1400000US08005084100","Census Tract 841, Arapahoe County, Colorado"
"73846","11381","1400000US08005084200","Census Tract 842, Arapahoe County, Colorado"
"77368","6536","1400000US08005084300","Census Tract 843, Arapahoe County, Colorado"
"82686","9842","1400000US08005084400","Census Tract 844, Arapahoe County, Colorado"
"62292","8088","1400000US08005084500","Census Tract 845, Arapahoe County, Colorado"
"69310","6593","1400000US08005084600","Census Tract 846, Arapahoe County, Colorado"
"79884","8142","1400000US08005084700","Census Tract 847, Arapahoe County, Colorado"
"91667","18423","1400000US08005084800","Census Tract 848, Arapahoe County, Colorado"
"145938","12450","1400000US08005084900","Census Tract 849, Arapahoe County, Colorado"
"93194","9909","1400000US08005085000","Census Tract 850, Arapahoe County, Colorado"
"160964","10923","1400000US08005085100","Census Tract 851, Arapahoe County, Colorado"
"143125","17257","1400000US08005085200","Census Tract 852, Arapahoe County, Colorado"
"104500","31047","1400000US08005085300","Census Tract 853, Arapahoe County, Colorado"
"132083","11703","1400000US08005085400","Census Tract 854, Arapahoe County, Colorado"
"115302","10775","1400000US08005085500","Census Tract 855, Arapahoe County, Colorado"
"133333","7338","1400000US08005085600","Census Tract 856, Arapahoe County, Colorado"
"69595","3929","1400000US08005085700","Census Tract 857, Arapahoe County, Colorado"
"82589","10962","1400000US08005085800","Census Tract 858, Arapahoe County, Colorado"
"110366","8668","1400000US08005085900","Census Tract 859, Arapahoe County, Colorado"
"99764","16257","1400000US08005086000","Census Tract 860, Arapahoe County, Colorado"
"98641","6319","1400000US08005086100","Census Tract 861, Arapahoe County, Colorado"
"108720","9949","1400000US08005086200","Census Tract 862, Arapahoe County, Colorado"
"86293","7837","1400000US08005086300","Census Tract 863, Arapahoe County, Colorado"
"168281","23423","1400000US08005086400","Census Tract 864, Arapahoe County, Colorado"
"90276","11758","1400000US08005086500","Census Tract 865, Arapahoe County, Colorado"
"85487","7954","1400000US08005086600","Census Tract 866, Arapahoe County, Colorado"
"156972","12977","1400000US08005086700","Census Tract 867, Arapahoe County, Colorado"
"59416","5317","1400000US08005086800","Census Tract 868, Arapahoe County, Colorado"
"53776","12407","1400000US08005086900","Census Tract 869, Arapahoe County, Colorado"
"53073","16489","1400000US08005087000","Census Tract 870, Arapahoe County, Colorado"
"40912","3154","1400000US08005087100","Census Tract 871, Arapahoe County, Colorado"
"53495","6037","1400000US08005087200","Census Tract 872, Arapahoe County, Colorado"
"58000","9271","1400000US08005087300","Census Tract 873, Arapahoe County, Colorado"
"57250","7939","1400000US08007940400","Census Tract 9404, Archuleta County, Colorado"
"56174","6690","1400000US08007974200","Census Tract 9742, Archuleta County, Colorado"
"44349","7053","1400000US08007974300","Census Tract 9743, Archuleta County, Colorado"
"48011","9102","1400000US08007974400","Census Tract 9744, Archuleta County, Colorado"
"44327","8193","1400000US08009964600","Census Tract 9646, Baca County, Colorado"
"34055","2524","1400000US08009964700","Census Tract 9647, Baca County, Colorado"
"34392","6115","1400000US08011966700","Census Tract 9667, Bent County, Colorado"
"114271","33375","1400000US08013012101","Census Tract 121.01, Boulder County, Colorado"
"73396","10696","1400000US08013012102","Census Tract 121.02, Boulder County, Colorado"
"92862","10040","1400000US08013012103","Census Tract 121.03, Boulder County, Colorado"
"121146","23172","1400000US08013012104","Census Tract 121.04, Boulder County, Colorado"
"84435","13495","1400000US08013012105","Census Tract 121.05, Boulder County, Colorado"
"60357","23961","1400000US08013012201","Census Tract 122.01, Boulder County, Colorado"
"38194","8458","1400000US08013012202","Census Tract 122.02, Boulder County, Colorado"
"59618","5723","1400000US08013012203","Census Tract 122.03, Boulder County, Colorado"
"42348","6044","1400000US08013012204","Census Tract 122.04, Boulder County, Colorado"
"40464","3611","1400000US08013012300","Census Tract 123, Boulder County, Colorado"
"22578","8254","1400000US08013012401","Census Tract 124.01, Boulder County, Colorado"
"81205","23453","1400000US08013012501","Census Tract 125.01, Boulder County, Colorado"
"108750","16745","1400000US08013012505","Census Tract 125.05, Boulder County, Colorado"
"62163","12289","1400000US08013012507","Census Tract 125.07, Boulder County, Colorado"
"76397","16339","1400000US08013012508","Census Tract 125.08, Boulder County, Colorado"
"102450","22489","1400000US08013012509","Census Tract 125.09, Boulder County, Colorado"
"120441","23877","1400000US08013012510","Census Tract 125.10, Boulder County, Colorado"
"53870","9109","1400000US08013012511","Census Tract 125.11, Boulder County, Colorado"
"108141","16929","1400000US08013012603","Census Tract 126.03, Boulder County, Colorado"
"37708","8875","1400000US08013012605","Census Tract 126.05, Boulder County, Colorado"
"24793","3069","1400000US08013012607","Census Tract 126.07, Boulder County, Colorado"
"80852","10122","1400000US08013012608","Census Tract 126.08, Boulder County, Colorado"
"150117","26158","1400000US08013012701","Census Tract 127.01, Boulder County, Colorado"
"65963","12136","1400000US08013012705","Census Tract 127.05, Boulder County, Colorado"
"93438","24342","1400000US08013012707","Census Tract 127.07, Boulder County, Colorado"
"106186","17092","1400000US08013012708","Census Tract 127.08, Boulder County, Colorado"
"111042","14954","1400000US08013012709","Census Tract 127.09, Boulder County, Colorado"
"118309","18040","1400000US08013012710","Census Tract 127.10, Boulder County, Colorado"
"134028","11263","1400000US08013012800","Census Tract 128, Boulder County, Colorado"
"133750","16629","1400000US08013012903","Census Tract 129.03, Boulder County, Colorado"
"90982","12426","1400000US08013012904","Census Tract 129.04, Boulder County, Colorado"
"54290","8880","1400000US08013012905","Census Tract 129.05, Boulder County, Colorado"
"81250","8737","1400000US08013012907","Census Tract 129.07, Boulder County, Colorado"
"103701","9451","1400000US08013013003","Census Tract 130.03, Boulder County, Colorado"
"131406","14804","1400000US08013013004","Census Tract 130.04, Boulder County, Colorado"
"86058","21328","1400000US08013013005","Census Tract 130.05, Boulder County, Colorado"
"98611","10245","1400000US08013013006","Census Tract 130.06, Boulder County, Colorado"
"94444","14979","1400000US08013013201","Census Tract 132.01, Boulder County, Colorado"
"118839","13249","1400000US08013013202","Census Tract 132.02, Boulder County, Colorado"
"110417","24420","1400000US08013013205","Census Tract 132.05, Boulder County, Colorado"
"86635","11064","1400000US08013013207","Census Tract 132.07, Boulder County, Colorado"
"72383","8487","1400000US08013013208","Census Tract 132.08, Boulder County, Colorado"
"63781","10287","1400000US08013013210","Census Tract 132.10, Boulder County, Colorado"
"118603","26449","1400000US08013013211","Census Tract 132.11, Boulder County, Colorado"
"81354","14716","1400000US08013013212","Census Tract 132.12, Boulder County, Colorado"
"91341","5869","1400000US08013013213","Census Tract 132.13, Boulder County, Colorado"
"70459","9670","1400000US08013013302","Census Tract 133.02, Boulder County, Colorado"
"67438","4913","1400000US08013013305","Census Tract 133.05, Boulder County, Colorado"
"54011","3681","1400000US08013013306","Census Tract 133.06, Boulder County, Colorado"
"58504","11338","1400000US08013013307","Census Tract 133.07, Boulder County, Colorado"
"44470","7474","1400000US08013013308","Census Tract 133.08, Boulder County, Colorado"
"40457","5067","1400000US08013013401","Census Tract 134.01, Boulder County, Colorado"
"70420","8066","1400000US08013013402","Census Tract 134.02, Boulder County, Colorado"
"49213","6775","1400000US08013013503","Census Tract 135.03, Boulder County, Colorado"
"44479","5783","1400000US08013013505","Census Tract 135.05, Boulder County, Colorado"
"105559","12080","1400000US08013013506","Census Tract 135.06, Boulder County, Colorado"
"76862","8538","1400000US08013013507","Census Tract 135.07, Boulder County, Colorado"
"84801","13031","1400000US08013013508","Census Tract 135.08, Boulder County, Colorado"
"96821","11420","1400000US08013013601","Census Tract 136.01, Boulder County, Colorado"
"87955","30038","1400000US08013013602","Census Tract 136.02, Boulder County, Colorado"
"105313","19449","1400000US08013013701","Census Tract 137.01, Boulder County, Colorado"
"91648","6313","1400000US08013013702","Census Tract 137.02, Boulder County, Colorado"
"111696","15491","1400000US08013060600","Census Tract 606, Boulder County, Colorado"
"105896","7797","1400000US08013060700","Census Tract 607, Boulder County, Colorado"
"54393","11387","1400000US08013060800","Census Tract 608, Boulder County, Colorado"
"74286","10290","1400000US08013060900","Census Tract 609, Boulder County, Colorado"
"167917","12163","1400000US08013061300","Census Tract 613, Boulder County, Colorado"
"128042","22314","1400000US08013061400","Census Tract 614, Boulder County, Colorado"
"65959","10673","1400000US08014030000","Census Tract 300, Broomfield County, Colorado"
"64318","24667","1400000US08014030100","Census Tract 301, Broomfield County, Colorado"
"77159","7744","1400000US08014030200","Census Tract 302, Broomfield County, Colorado"
"62897","5100","1400000US08014030300","Census Tract 303, Broomfield County, Colorado"
"135563","12218","1400000US08014030400","Census Tract 304, Broomfield County, Colorado"
"137603","11770","1400000US08014030500","Census Tract 305, Broomfield County, Colorado"
"83429","16522","1400000US08014030600","Census Tract 306, Broomfield County, Colorado"
"93203","10558","1400000US08014030700","Census Tract 307, Broomfield County, Colorado"
"85742","9634","1400000US08014030800","Census Tract 308, Broomfield County, Colorado"
"108385","14070","1400000US08014030900","Census Tract 309, Broomfield County, Colorado"
"109291","12728","1400000US08014031000","Census Tract 310, Broomfield County, Colorado"
"66863","6195","1400000US08014031100","Census Tract 311, Broomfield County, Colorado"
"72455","13270","1400000US08014031200","Census Tract 312, Broomfield County, Colorado"
"159677","24699","1400000US08014031300","Census Tract 313, Broomfield County, Colorado"
"117679","13414","1400000US08014031400","Census Tract 314, Broomfield County, Colorado"
"-","**","1400000US08014980100","Census Tract 9801, Broomfield County, Colorado"
"-","**","1400000US08014980200","Census Tract 9802, Broomfield County, Colorado"
"-","**","1400000US08014980300","Census Tract 9803, Broomfield County, Colorado"
"40089","13640","1400000US08015000100","Census Tract 1, Chaffee County, Colorado"
"58385","13463","1400000US08015000200","Census Tract 2, Chaffee County, Colorado"
"63194","10907","1400000US08015000300","Census Tract 3, Chaffee County, Colorado"
"53143","9439","1400000US08015000401","Census Tract 4.01, Chaffee County, Colorado"
"54375","5657","1400000US08015000402","Census Tract 4.02, Chaffee County, Colorado"
"55227","5083","1400000US08017960600","Census Tract 9606, Cheyenne County, Colorado"
"82978","12138","1400000US08019014700","Census Tract 147, Clear Creek County, Colorado"
"57266","16228","1400000US08019014800","Census Tract 148, Clear Creek County, Colorado"
"58357","11114","1400000US08019014900","Census Tract 149, Clear Creek County, Colorado"
"29009","1735","1400000US08021974800","Census Tract 9748, Conejos County, Colorado"
"42150","7162","1400000US08021974900","Census Tract 9749, Conejos County, Colorado"
"33235","9472","1400000US08023972600","Census Tract 9726, Costilla County, Colorado"
"26250","6546","1400000US08023972700","Census Tract 9727, Costilla County, Colorado"
"37586","5569","1400000US08025969600","Census Tract 9696, Crowley County, Colorado"
"44644","9674","1400000US08027970100","Census Tract 9701, Custer County, Colorado"
"44044","11698","1400000US08029964600","Census Tract 9646, Delta County, Colorado"
"51101","8095","1400000US08029964700","Census Tract 9647, Delta County, Colorado"
"51750","13032","1400000US08029964800","Census Tract 9648, Delta County, Colorado"
"42594","7893","1400000US08029964900","Census Tract 9649, Delta County, Colorado"
